Easting,Northing,Height,Type,UTC_time,Zone,N_Sat
614811.8917759011,9763234.862970965,90.25165316748782,GPS,Fri Nov 13 12:16:34 GMT-05:00 2020,17S,9
614811.8970847958,9763234.866497882,90.2544255553416,GPS,Fri Nov 13 12:16:39 GMT-05:00 2020,17S,9
614811.8890282051,9763234.866812348,90.25486305708472,GPS,Fri Nov 13 12:16:44 GMT-05:00 2020,17S,9
614811.8825771166,9763234.8670009,90.26588960673223,GPS,Fri Nov 13 12:16:49 GMT-05:00 2020,17S,9
614811.8828084908,9763234.864640161,90.26059518514089,GPS,Fri Nov 13 12:16:54 GMT-05:00 2020,17S,9
614811.886714196,9763234.86164582,90.26572312550672,GPS,Fri Nov 13 12:16:59 GMT-05:00 2020,17S,9
614812.4589937769,9763233.932547089,111.7213714832424,INVALID,Fri Nov 13 12:17:04 GMT-05:00 2020,17S,9
614811.8889179517,9763234.869586838,90.26672835450614,GPS,Fri Nov 13 13:17:09 GMT-05:00 2020,17S,9
614811.8926903864,9763234.868141053,90.2640919163869,GPS,Fri Nov 13 14:17:14 GMT-05:00 2020,17S,9
614811.8876666138,9763234.870704653,90.26963255668501,GPS,Fri Nov 13 14:17:19 GMT-05:00 2020,17S,9
614811.8902583495,9763234.871510327,90.27525146086774,GPS,Fri Nov 13 14:17:24 GMT-05:00 2020,17S,9
614811.8904098133,9763234.872777404,90.2602561125902,GPS,Fri Nov 13 14:17:29 GMT-05:00 2020,17S,9
614811.8869372895,9763234.876246652,90.2679144081414,GPS,Fri Nov 13 14:17:34 GMT-05:00 2020,17S,9
614811.8032857554,9763231.92525765,114.03972792964518,INVALID,Fri Nov 13 14:17:40 GMT-05:00 2020,17S,9
614811.8856080314,9763234.87340091,90.26621246967996,GPS,Fri Nov 13 14:17:45 GMT-05:00 2020,17S,9
614811.8778421837,9763234.874069704,90.26505684604547,GPS,Fri Nov 13 14:17:50 GMT-05:00 2020,17S,9
614811.8772565959,9763234.879380004,90.28104277869906,GPS,Fri Nov 13 14:17:55 GMT-05:00 2020,17S,9
614811.8836016923,9763234.872213243,90.26859884052841,GPS,Fri Nov 13 14:18:01 GMT-05:00 2020,17S,9
614811.8806765337,9763234.869060889,90.2801171215098,GPS,Fri Nov 13 14:18:05 GMT-05:00 2020,17S,9
614811.8792389428,9763234.870582981,90.27546173876543,GPS,Fri Nov 13 14:18:10 GMT-05:00 2020,17S,9
614811.8782055171,9763234.86734151,90.27660837690814,GPS,Fri Nov 13 14:18:15 GMT-05:00 2020,17S,9
614811.8918245763,9763234.869944872,90.2828412863781,GPS,Fri Nov 13 14:18:20 GMT-05:00 2020,17S,9
